,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
344,Keti Bandar,PK,24.14,67.45,66.6,49,0,18.75,clear sky
345,Nyurba,RU,63.28,118.33,-7.73,90,79,5.68,broken clouds
346,Otane,NZ,-39.88,176.63,73.0,68,10,4.0,clear sky
347,Tekeli,KZ,44.83,78.82,21.56,76,99,4.74,overcast clouds
348,Akureyri,IS,65.68,-18.09,33.8,86,90,12.75,light rain
349,Denpasar,ID,-8.65,115.22,78.8,83,20,3.36,few clouds
350,Galatas,GR,37.5,23.45,55.4,58,40,6.93,scattered clouds
351,Bodden Town,KY,19.28,-81.25,84.2,66,20,13.87,moderate rain
352,Chifeng,CN,42.27,118.96,11.07,89,80,2.42,broken clouds
353,Aranos,NA,-24.13,19.12,71.24,24,68,11.03,broken clouds
354,Rognan,NO,67.1,15.39,33.01,93,100,2.19,overcast clouds
355,La Ronge,CA,55.1,-105.28,26.6,92,99,6.93,overcast clouds
356,Henties Bay,NA,-22.12,14.28,59.0,86,21,3.0,few clouds
357,Broken Hill,AU,-31.95,141.43,86.0,23,0,8.05,clear sky
358,Goksun,TR,38.02,36.5,48.2,81,75,5.82,broken clouds
359,Mukhen,RU,48.1,136.1,14.41,84,22,11.01,few clouds
360,Greenwood,US,34.17,-82.12,66.2,68,75,5.48,broken clouds
361,Sanmenxia,CN,34.77,111.18,36.95,82,75,2.39,broken clouds
362,Longyearbyen,SJ,78.22,15.64,17.6,61,75,9.17,broken clouds
363,Tondon,GN,10.37,-13.35,73.65,90,8,1.72,clear sky
364,Susanville,US,40.42,-120.65,43.0,38,75,13.87,broken clouds
365,Murzzuschlag,AT,47.6,15.68,34.0,88,0,1.99,clear sky
366,Dahanu,IN,19.97,72.73,75.43,66,0,8.95,clear sky
367,Arman,RU,59.7,150.17,-0.53,83,0,12.3,clear sky
368,Yerbogachen,RU,61.28,108.01,-4.22,91,22,5.93,few clouds
369,Tessalit,ML,20.2,1.01,61.66,28,0,6.2,clear sky
370,Rio Grande,BR,-32.03,-52.1,70.88,85,97,5.5,moderate rain
371,Cayenne,GF,4.93,-52.33,80.6,83,0,3.36,clear sky
372,Sao Felix Do Xingu,BR,-6.64,-51.99,73.98,91,51,0.6,broken clouds
373,Zeya,RU,53.75,127.27,5.76,86,35,6.49,scattered clouds
374,Misratah,LY,32.38,15.09,65.97,63,72,0.92,broken clouds
375,Hamilton,US,39.18,-84.53,59.0,93,40,6.93,scattered clouds
376,Vestmannaeyjar,IS,63.44,-20.27,41.2,93,100,39.77,moderate rain
377,Dobrinka,RU,52.17,40.47,28.49,99,84,5.5,broken clouds
378,Aykhal,RU,66.0,111.5,1.4,84,75,2.24,broken clouds
379,Coihaique,CL,-45.58,-72.07,51.8,57,40,5.82,scattered clouds
380,Svetlaya,RU,46.54,138.33,22.12,85,51,8.9,broken clouds
381,Valparaiso,CL,-33.04,-71.63,75.2,49,0,20.8,clear sky
382,Husavik,IS,66.04,-17.34,33.8,86,90,12.75,overcast clouds
383,Sorong,ID,-0.88,131.25,81.79,78,91,3.89,overcast clouds
384,Dong Hoi,VN,17.48,106.6,73.13,88,80,5.12,light rain
385,Thaton,MM,16.92,97.37,72.21,86,0,3.87,clear sky
386,Ouargaye,BF,11.5,0.06,77.02,20,0,5.37,clear sky
387,Yarada,IN,17.65,83.27,71.31,78,100,16.67,overcast clouds
388,Strezhevoy,RU,60.73,77.59,17.6,92,90,11.18,overcast clouds
389,Saint-Pierre,RE,-21.34,55.48,75.2,83,88,8.05,overcast clouds
390,Narasannapeta,IN,18.42,84.05,68.25,70,100,9.69,light rain
391,Homer,US,59.64,-151.55,42.8,75,90,20.98,light rain
392,Cueto,CU,20.64,-75.94,77.0,83,75,11.41,broken clouds
393,Komsomolskiy,UZ,40.43,71.72,28.4,68,33,4.7,mist
394,Asau,RO,46.43,26.4,36.0,64,62,4.97,light rain
395,Doha,QA,25.29,51.53,71.6,73,0,3.36,clear sky
396,Staryy Nadym,RU,65.61,72.68,11.12,96,68,11.65,broken clouds
397,Havelock,US,34.88,-76.9,63.0,82,20,11.41,few clouds
398,Pithora,IN,21.27,82.52,62.64,48,100,4.81,overcast clouds
399,San Policarpo,PH,12.18,125.51,80.96,83,100,5.86,overcast clouds
400,Ambarawa,ID,-7.26,110.4,48.0,10,82,3.33,broken clouds
401,Bulaevo,KZ,54.91,70.44,7.39,95,88,8.48,overcast clouds
402,Mbaiki,CF,3.87,17.99,73.31,58,0,2.08,clear sky
403,Lysa Hora,UA,48.17,31.11,36.43,87,10,6.06,clear sky
404,Sola,VU,-13.88,167.55,78.22,83,58,2.37,broken clouds
405,Kyrylivka,UA,46.38,35.37,42.84,74,97,10.92,overcast clouds
406,Chimbote,PE,-9.09,-78.58,64.42,78,6,9.31,clear sky
407,Lydenburg,ZA,-25.1,30.46,66.0,100,77,3.0,broken clouds
408,Biak,ID,-0.91,122.88,80.22,72,98,1.48,overcast clouds
409,Abonnema,NG,4.71,6.79,78.8,88,20,5.7,few clouds
410,Fayaoue,NC,-20.65,166.53,78.98,72,100,9.08,overcast clouds
411,Tsogni,GA,-2.79,10.1,75.27,92,100,6.55,overcast clouds
412,Malatya,TR,38.5,38.0,33.8,63,90,1.9,overcast clouds
413,Gat,IL,31.61,34.76,55.0,100,84,1.99,moderate rain
414,Kankon,IN,15.02,74.02,76.35,63,63,6.13,broken clouds
415,Dawlatabad,AF,36.41,64.91,36.57,80,6,7.96,clear sky
416,Taraz,KZ,42.9,71.37,26.6,73,90,4.47,overcast clouds
417,Puerto Madryn,AR,-42.77,-65.04,66.2,17,75,34.45,broken clouds
418,Libreville,GA,0.39,9.45,77.74,87,100,6.08,light rain
419,Zhigalovo,RU,54.81,105.16,4.14,90,96,0.6,overcast clouds
420,Ambon,ID,-3.7,128.18,80.01,88,20,6.93,few clouds
421,Atar,MR,20.52,-13.05,70.52,20,100,6.17,overcast clouds
422,Corrente,BR,-3.74,-43.34,78.1,76,100,1.5,overcast clouds
423,Porto Novo,BJ,6.5,2.6,82.4,83,40,12.75,scattered clouds
424,Krasnoselkup,RU,65.7,82.47,9.3,95,100,13.76,overcast clouds
425,Manado,ID,1.49,124.85,75.2,100,40,1.81,scattered clouds
426,Entebbe,UG,0.06,32.45,68.0,88,20,4.7,few clouds
427,Acapulco,MX,16.86,-99.89,84.2,74,40,9.17,scattered clouds
428,Yangambi,CD,0.81,24.43,69.46,96,54,1.3,broken clouds
429,Grinnell,US,41.74,-92.72,42.8,87,90,6.93,mist
430,Caconda,AO,-13.73,15.07,61.93,94,38,2.57,scattered clouds
431,Chapleau,CA,47.84,-83.4,33.8,96,90,2.55,overcast clouds
432,Beloha,MG,-25.17,45.05,68.45,86,0,2.06,clear sky
433,Vanavara,RU,60.34,102.28,-2.04,93,78,4.18,broken clouds
434,Miyako,JP,39.64,141.95,46.99,71,17,3.67,few clouds
435,Nantucket,US,41.28,-70.1,53.6,87,90,12.75,overcast clouds
436,Saldanha,ZA,-33.01,17.94,53.6,71,3,8.05,clear sky
437,Poopo,BO,-18.37,-66.97,53.62,44,78,13.22,broken clouds
438,Sabzevar,IR,36.21,57.68,44.08,59,88,6.02,overcast clouds
439,Wilhelmsburg,AT,48.11,15.61,35.01,80,30,4.0,scattered clouds
440,Bilibino,RU,68.05,166.44,14.25,94,100,1.59,overcast clouds
441,Flin Flon,CA,54.77,-101.86,17.6,85,90,2.24,light snow
442,Hami,CN,42.8,93.45,17.67,78,0,5.03,clear sky
443,Pankovka,RU,58.5,31.2,34.11,94,100,11.43,moderate rain
444,Soddy-Daisy,US,35.24,-85.19,60.01,98,100,5.01,overcast clouds
445,Nalut,LY,30.33,10.85,58.01,65,53,8.12,broken clouds
446,Tahta,EG,26.77,31.5,60.8,59,0,3.36,clear sky
447,Manta,EC,-0.95,-80.73,80.6,61,75,12.75,broken clouds
448,El Dorado,US,38.77,-120.52,53.01,59,15,4.0,few clouds
449,Betioky,MG,-23.72,44.38,73.9,41,0,2.91,clear sky
450,Talas,TR,38.69,35.55,37.4,64,40,11.41,scattered clouds
451,Belaya Gora,RU,68.53,146.42,0.45,91,100,15.93,overcast clouds
452,Nemuro,JP,43.32,145.57,42.31,71,23,17.76,few clouds
453,Ondjiva,AO,-17.07,15.73,78.4,51,59,6.62,broken clouds
454,Coahuayana,MX,18.73,-103.68,84.2,100,40,11.41,scattered clouds
455,Zhangjiakou,CN,40.81,114.88,22.08,81,34,0.58,scattered clouds
456,Codrington,AU,-38.27,141.97,59.32,66,43,12.33,scattered clouds
457,Nova Olinda Do Norte,BR,-3.89,-59.09,74.26,97,100,1.41,overcast clouds
458,Ayan,RU,56.45,138.17,2.86,85,94,19.98,overcast clouds
459,Lira,UG,2.23,32.91,64.08,93,58,2.37,broken clouds
460,Ormara,PK,25.21,64.64,70.68,35,0,17.81,clear sky
461,Srednekolymsk,RU,67.45,153.68,4.68,94,100,19.55,snow
462,Emmett,US,43.87,-116.5,44.01,54,29,3.78,scattered clouds
463,Soe,ID,-9.86,124.28,74.68,79,100,1.05,overcast clouds
464,Villazon,BO,-22.09,-65.59,56.91,58,72,10.76,moderate rain
465,Awbari,LY,26.59,12.78,48.92,75,0,1.45,clear sky
466,Kaeo,NZ,-35.1,173.78,70.0,72,82,13.0,broken clouds
467,Rawson,AR,-43.3,-65.1,66.2,17,75,34.45,broken clouds
468,Sena Madureira,BR,-9.07,-68.66,86.67,57,66,2.35,moderate rain
469,Rio Gallegos,AR,-51.62,-69.22,51.8,57,40,25.28,scattered clouds
470,Bunda,TZ,-2.05,33.87,65.34,87,93,3.18,overcast clouds
471,Tondano,ID,1.3,124.91,75.2,100,40,1.28,scattered clouds
472,Varnavino,RU,57.4,45.09,26.6,98,93,0.67,overcast clouds
473,Waddan,LY,29.16,16.14,62.46,62,99,9.62,overcast clouds
474,Bar Harbor,US,44.39,-68.2,46.99,100,90,3.36,mist
475,Deputatskiy,RU,69.3,139.9,-14.19,89,97,8.08,overcast clouds
476,Marrakesh,MA,31.63,-8.01,57.2,76,75,11.41,broken clouds
477,Richards Bay,ZA,-28.78,32.04,66.13,81,41,1.63,scattered clouds
478,Margate,GB,51.38,1.39,51.01,89,100,1.99,overcast clouds
479,Paita,PE,-5.09,-81.11,64.24,81,3,17.0,clear sky
480,Kalianget,ID,-7.05,113.93,82.2,74,100,1.12,moderate rain
481,Bereda,ES,43.27,-7.54,46.99,100,100,3.0,overcast clouds
482,Jumla,NP,29.27,82.18,40.86,63,100,3.89,overcast clouds
483,Ulladulla,AU,-35.35,150.47,75.99,60,0,8.05,clear sky
484,Fort Nelson,CA,58.81,-122.7,10.4,85,20,2.01,few clouds
485,Kisangani,CD,0.52,25.2,69.48,94,86,2.39,overcast clouds
486,Lang Son,VN,21.83,106.73,63.79,95,10,2.91,clear sky
487,Graham,US,47.05,-122.29,48.2,76,90,5.19,overcast clouds
488,Santa Marta,CO,11.24,-74.2,84.99,71,98,13.0,overcast clouds
489,Conceicao Da Barra,BR,-18.59,-39.73,73.09,90,1,6.42,clear sky
490,Vaitape,PF,-16.52,-151.75,81.18,79,47,13.91,moderate rain
491,Aklavik,CA,68.22,-135.01,-2.2,77,5,9.17,clear sky
492,Paramonga,PE,-10.67,-77.83,64.58,77,53,7.31,broken clouds
493,Tomatlan,MX,19.93,-105.25,84.63,61,0,4.34,clear sky
494,Karratha,AU,-20.74,116.85,82.96,58,1,9.26,clear sky
495,Nanortalik,GL,60.14,-45.24,27.25,86,100,54.02,light snow
496,Itoman,JP,26.12,127.67,71.6,68,75,14.99,broken clouds
497,Marsaxlokk,MT,35.84,14.54,57.2,93,40,3.36,scattered clouds
498,Lagos,NG,6.58,3.75,80.6,88,20,2.24,few clouds
499,Cairns,AU,-16.92,145.77,82.99,65,17,8.05,few clouds
500,Hamina,FI,60.57,27.2,41.0,100,90,8.05,fog
501,San Cristobal,VE,7.77,-72.22,80.6,78,40,9.17,shower rain
502,Abnub,EG,27.27,31.15,57.2,54,0,11.41,clear sky
503,Solnechnyy,RU,50.72,136.63,7.61,79,0,1.7,clear sky
504,Mbandaka,CD,0.05,18.26,73.17,87,34,2.73,scattered clouds
505,Raudeberg,NO,61.99,5.14,44.6,81,59,16.11,broken clouds
506,Sioux Lookout,CA,50.1,-91.92,26.6,86,90,9.17,overcast clouds
507,Jilib,SO,0.49,42.79,75.47,91,77,3.47,broken clouds
508,Honningsvag,NO,70.98,25.97,33.13,89,35,9.42,scattered clouds
509,Bukachacha,RU,52.98,116.92,4.08,84,0,3.29,clear sky
510,Bousso,TD,10.48,16.71,76.95,28,44,5.88,scattered clouds
511,Tommot,RU,58.96,126.29,3.07,91,100,12.1,light snow
512,Burgos,ES,42.34,-3.71,48.2,70,75,13.87,broken clouds
513,Lere,NG,10.39,8.57,70.16,38,30,2.93,scattered clouds
514,Tahoua,NE,14.89,5.27,80.6,24,0,6.93,clear sky
515,Terney,RU,45.05,136.61,23.32,87,1,12.8,clear sky
516,Maumere,ID,-8.62,122.21,82.47,75,100,4.76,overcast clouds
517,Pinawa,CA,50.15,-95.88,30.22,91,100,10.11,overcast clouds
518,Jampur,PK,29.64,70.6,53.31,77,9,11.79,clear sky
519,Newport,GB,51.59,-3.0,37.99,92,80,4.23,broken clouds
520,Naze,JP,28.37,129.48,69.8,82,40,4.7,scattered clouds
521,College,US,64.86,-147.8,30.2,73,90,8.05,overcast clouds
522,Qarqin,AF,37.42,66.04,43.05,61,22,22.32,few clouds
523,Savannah Bight,HN,16.45,-85.85,75.2,94,90,4.7,moderate rain
524,Dicabisagan,PH,17.08,122.42,76.19,83,56,9.55,light rain
525,Chiang Khong,TH,20.26,100.4,64.4,100,0,1.5,mist
526,Kapuskasing,CA,49.42,-82.43,33.8,86,85,1.12,overcast clouds
527,Katangli,RU,51.71,143.23,10.67,83,3,12.5,clear sky
528,Irbeyskoye,RU,55.64,95.45,0.5,93,79,0.63,broken clouds
529,Zangakatun,AM,39.82,45.04,32.0,84,81,1.12,broken clouds
530,Kisaran,ID,2.98,99.62,72.9,96,88,1.61,moderate rain
531,Anadyr,RU,64.75,177.48,15.8,78,90,4.47,light snow
532,Tabora,TZ,-5.02,32.8,66.42,87,55,3.0,broken clouds
533,Saint-Francois,FR,46.42,3.91,43.0,93,0,4.7,clear sky
534,Capao Da Canoa,BR,-29.75,-50.01,75.58,81,100,13.62,overcast clouds
535,Eisenerz,AT,47.53,14.88,33.01,86,0,1.59,clear sky
536,Shimoda,JP,34.67,138.95,52.0,92,19,6.91,few clouds
537,Marsh Harbour,BS,26.54,-77.06,75.72,72,63,17.78,broken clouds
538,Oistins,BB,13.07,-59.53,80.6,78,20,13.87,few clouds
539,Lasa,IT,46.62,10.7,30.2,74,5,2.46,clear sky
540,Bima,ID,-8.47,118.72,79.95,82,100,4.0,moderate rain
541,Zapolyarnyy,RU,69.42,30.81,24.8,92,75,10.29,broken clouds
542,Gunjur,GM,13.2,-16.73,71.6,68,0,4.7,clear sky
543,Haines Junction,CA,60.75,-137.51,-2.2,84,100,1.12,overcast clouds
544,Pradopolis,BR,-21.36,-48.07,84.2,42,75,12.75,broken clouds
545,Bairiki,KI,1.33,172.98,84.2,70,20,14.99,few clouds
546,Akdagmadeni,TR,39.66,35.88,28.67,96,100,7.4,light rain
547,Ikom,NG,5.97,8.71,75.85,87,94,2.3,overcast clouds
548,Trairi,BR,-3.28,-39.27,80.31,72,81,11.77,broken clouds
549,Nizhniy Kuranakh,RU,58.84,125.49,2.8,91,100,9.93,light snow
550,Elk City,US,35.41,-99.4,55.4,32,1,8.05,clear sky
551,Suntar,RU,62.14,117.63,-7.56,90,79,5.68,broken clouds
552,Ascension,US,30.22,-90.9,73.0,94,46,6.85,scattered clouds
553,Nauta,PE,-4.51,-73.58,80.82,77,99,0.87,overcast clouds
554,Sorland,NO,67.67,12.69,33.8,68,20,0.4,few clouds
555,Grootfontein,NA,-19.57,18.12,78.51,37,24,8.1,few clouds
556,Puerto Lempira,HN,15.27,-83.77,77.97,88,100,7.56,moderate rain
557,Maldonado,UY,-34.67,-54.92,77.0,73,20,4.7,few clouds
558,Prachuap Khiri Khan,TH,12.22,99.75,71.11,91,4,3.42,clear sky
559,Waipawa,NZ,-41.41,175.52,62.01,93,98,8.05,drizzle
560,Kampot,KH,10.62,104.18,78.8,74,20,3.36,few clouds
561,Copiapo,CL,-27.37,-70.33,62.6,67,0,10.29,clear sky
562,Surt,LY,31.21,16.59,64.83,73,43,8.75,light rain
563,Campbell River,CA,50.02,-125.24,44.6,81,75,3.36,broken clouds
564,Batagay-Alyta,RU,67.8,130.41,-3.14,73,46,3.47,scattered clouds
565,Saint George,US,37.1,-113.58,57.0,25,1,2.08,clear sky
566,Krasnoborsk,RU,61.56,45.93,28.67,97,100,2.08,light snow
567,Qaqortoq,GL,60.72,-46.03,24.8,58,100,21.92,light snow
568,Astoria,US,46.19,-123.83,51.01,81,90,11.41,overcast clouds
569,Pau Brasil,BR,-15.46,-39.65,68.31,95,66,3.22,broken clouds
570,Cheney,US,47.49,-117.58,37.99,74,90,9.17,overcast clouds
571,Fare,PF,-16.7,-151.02,81.64,81,41,20.09,scattered clouds
572,Ilhabela,BR,-23.78,-45.36,74.37,86,26,11.72,scattered clouds
573,Skibotn,NO,69.39,20.27,26.01,92,0,8.05,clear sky
574,Mpwapwa,TZ,-6.35,36.48,69.85,82,97,2.89,overcast clouds
575,Troitsko-Pechorsk,RU,62.71,56.2,23.47,97,98,5.88,overcast clouds
576,Proletariy,RU,58.43,31.7,33.69,92,100,9.44,moderate rain
577,Saint-Denis,FR,48.92,2.33,45.0,93,0,3.36,clear sky
578,Chkalovskoye,RU,44.84,133.04,12.6,90,43,0.74,scattered clouds
579,Nuevo Ideal,MX,24.89,-105.07,70.11,28,4,13.33,clear sky
580,Chapais,CA,49.78,-74.85,21.2,92,90,8.05,light snow
581,Seshcha,RU,53.74,33.34,31.89,98,98,4.25,overcast clouds
582,Esterhazy,CA,50.65,-102.08,37.4,69,95,16.11,overcast clouds
583,Kholtoson,RU,50.3,103.31,5.34,91,91,0.47,overcast clouds
584,Duma,CN,34.77,108.14,32.0,94,75,2.24,mist
585,Vanimo,PG,-2.67,141.3,83.59,68,61,2.75,broken clouds
586,Yumen,CN,40.28,97.2,13.82,86,76,6.08,broken clouds
587,Ugoofaaru,MV,5.67,73.0,82.44,67,57,11.92,broken clouds
588,Guozhen,CN,34.37,107.36,33.73,84,32,0.78,scattered clouds
589,Masaka,UG,-0.33,31.73,58.01,89,94,1.61,overcast clouds
590,Morros,BR,-9.45,-46.3,76.08,56,92,6.69,overcast clouds
591,Nuevo Progreso,MX,23.17,-97.95,86.0,58,5,5.01,clear sky
592,Cap Malheureux,MU,-19.98,57.61,75.0,86,6,5.99,light rain
593,Tagusao,PH,9.19,117.81,80.65,77,88,10.42,overcast clouds
594,Inzer,RU,54.22,57.56,21.36,91,100,4.03,snow
595,Clarence Town,AU,-32.58,151.78,78.01,64,0,8.05,clear sky
596,Amarante Do Maranhao,BR,-5.57,-46.74,79.72,67,98,4.34,overcast clouds
597,Port Shepstone,ZA,-30.74,30.45,66.04,87,100,7.47,light rain
598,Calama,CL,-22.47,-68.93,77.0,12,0,24.16,clear sky
599,Hit,IQ,33.64,42.83,60.91,29,100,14.85,overcast clouds
600,Ishigaki,JP,24.34,124.16,75.2,73,75,17.22,broken clouds
601,Butembo,CD,0.15,29.28,56.26,97,88,2.1,overcast clouds
602,Bucerias,MX,20.75,-105.33,82.4,74,5,11.41,clear sky
603,Ituacu,BR,-13.81,-41.3,69.78,79,66,8.52,broken clouds
604,Zholymbet,KZ,51.74,71.71,5.14,90,0,3.96,clear sky
605,Pasni,PK,25.26,63.47,70.41,36,0,13.8,clear sky
606,Wilbraham,US,42.12,-72.43,45.0,60,90,3.51,overcast clouds
607,Bataipora,BR,-22.3,-53.27,81.55,42,9,1.88,clear sky
608,Onega,RU,63.91,38.14,30.69,98,99,4.68,overcast clouds
609,Tucuru,GT,15.3,-90.07,71.6,68,40,4.7,scattered clouds
610,Redlands,US,34.06,-117.18,71.6,21,5,4.99,haze
611,Boende,CD,-0.22,20.87,71.76,92,14,2.62,few clouds
612,Kalmunai,LK,7.42,81.82,76.98,81,61,4.59,broken clouds
613,Creston,US,41.06,-94.36,37.4,100,90,5.82,mist
614,Jiwani,PK,25.05,61.74,69.3,32,0,13.71,clear sky
615,Macenta,GN,8.54,-9.47,68.54,59,70,1.39,broken clouds
616,Grand-Santi,GF,4.25,-54.38,75.34,90,72,3.42,broken clouds
617,Praya,CV,14.92,-23.51,78.8,74,75,16.11,haze
618,Hailar,CN,49.2,119.7,3.42,90,0,6.6,clear sky
619,Fukue,JP,32.69,128.84,60.91,56,19,10.07,few clouds
620,Ballina,AU,-28.87,153.57,73.4,64,2,1.12,clear sky
621,Pueblo,US,38.25,-104.61,48.99,49,1,5.82,clear sky
622,Phalaborwa,ZA,-23.94,31.14,66.2,100,95,5.82,overcast clouds
623,Charters Towers,AU,-20.1,146.27,81.21,57,34,9.57,scattered clouds
624,Mehamn,NO,71.04,27.85,24.8,73,0,12.75,clear sky
625,Kambia,SL,9.12,-12.92,77.22,88,49,3.38,scattered clouds
626,Mount Isa,AU,-20.73,139.5,86.0,42,0,9.17,clear sky
627,Aleksandrovsk-Sakhalinskiy,RU,50.9,142.16,17.53,91,100,6.24,light snow
628,Lompoc,US,34.64,-120.46,62.6,55,1,12.75,clear sky
629,Prince Rupert,CA,54.32,-130.32,42.8,93,90,2.24,light rain
630,Hastings,GB,50.86,0.57,48.2,100,99,9.17,overcast clouds
631,Salta,AR,-24.79,-65.41,87.8,31,75,17.22,broken clouds
632,Sokolo,ML,14.73,-6.12,68.54,22,0,10.11,clear sky
633,Pingliang,CN,35.54,106.69,24.03,92,47,2.15,scattered clouds
634,Piacabucu,BR,-10.41,-36.43,76.89,78,0,9.4,clear sky
635,Kulhudhuffushi,MV,6.62,73.07,81.81,64,48,9.35,scattered clouds
636,Port Blair,IN,11.67,92.75,80.67,78,2,12.21,clear sky
637,Noumea,NC,-22.28,166.46,86.0,45,0,3.36,clear sky
638,Laurel,US,39.1,-76.85,55.99,66,90,4.7,overcast clouds
639,Bertoua,CM,4.58,13.68,71.55,52,95,0.51,overcast clouds
640,Sisimiut,GL,66.94,-53.67,27.72,96,100,21.0,snow
641,Palmer,US,42.16,-72.33,45.0,60,90,3.87,light rain
642,Almaznyy,RU,48.04,40.05,39.2,93,40,6.71,light rain
643,Kultuk,RU,51.72,103.7,11.26,89,92,3.69,overcast clouds
644,Mezen,RU,65.85,44.24,29.44,97,99,6.67,overcast clouds
645,Viedma,AR,-40.81,-63.0,66.06,26,83,14.88,broken clouds
646,Lithgow,AU,-33.48,150.15,73.99,58,0,1.99,clear sky
647,Sakaraha,MG,-22.9,44.53,73.71,45,0,3.44,clear sky
648,Aktau,KZ,43.65,51.2,32.0,88,40,6.71,mist
649,Leh,IN,34.17,77.58,17.38,86,99,2.75,light snow
650,High Level,CA,58.52,-117.14,15.8,85,90,3.36,overcast clouds
651,Borba,BR,-4.39,-59.59,74.46,96,100,0.31,overcast clouds
652,Camacha,PT,33.08,-16.33,57.2,58,40,23.04,scattered clouds
653,Garowe,SO,8.41,48.48,73.9,66,65,13.09,broken clouds
654,Shingu,JP,33.73,135.98,52.99,63,0,5.06,clear sky
655,Sept-Iles,CA,50.2,-66.38,23.0,79,100,5.82,snow
656,Beliu,RO,46.48,21.98,34.0,81,90,2.24,fog
657,Warrington,GB,53.39,-2.58,42.8,87,22,6.93,few clouds
658,West Carrollton City,US,39.67,-84.25,55.99,93,75,12.75,broken clouds
659,Hollins,US,37.34,-79.94,53.6,71,90,13.87,overcast clouds
660,Marshalltown,US,42.05,-92.91,37.99,100,90,12.75,overcast clouds
661,Lazaro Cardenas,MX,17.96,-102.2,82.53,75,0,7.65,clear sky
662,Pskov,RU,57.81,28.35,41.0,100,100,6.71,light intensity drizzle
663,Vetluga,RU,57.86,45.78,26.33,99,82,1.01,broken clouds
664,Shakiso,ET,5.75,38.92,57.74,93,44,2.77,light rain
665,Boyolangu,ID,-8.12,111.89,77.25,82,82,2.53,broken clouds
666,Castrillon,ES,43.4,-6.79,51.8,100,20,5.82,few clouds
667,Roma,US,43.21,-75.46,46.4,61,90,5.82,overcast clouds
668,Mahibadhoo,MV,3.78,72.97,82.78,74,77,11.5,broken clouds
669,Dagana,MR,16.52,-15.51,75.2,50,0,2.24,clear sky
670,Saint Anthony,US,45.02,-93.22,36.0,80,90,1.48,overcast clouds
671,Muisne,EC,0.6,-80.03,72.68,84,87,11.01,overcast clouds
672,Sekoma,BW,-24.4,23.88,75.16,22,1,13.24,clear sky
673,Itarema,BR,-2.92,-39.92,80.42,73,90,16.06,overcast clouds
674,Mao,ES,39.89,4.27,60.8,82,79,11.41,broken clouds
675,Zary,PL,51.64,15.14,33.01,82,0,5.99,clear sky
676,Valdivia,CL,-39.81,-73.25,59.0,47,0,9.17,clear sky
677,Avera,US,33.19,-82.53,69.8,60,1,4.7,clear sky
678,Disna,BY,55.57,28.2,44.08,93,99,9.33,overcast clouds
679,Ulagan,RU,50.63,87.96,9.32,85,2,1.57,clear sky
680,Craig,US,40.52,-107.55,48.2,21,1,17.22,clear sky
681,Road Town,VG,18.42,-64.62,78.8,78,20,4.7,few clouds
682,Waverly,US,42.74,-84.62,48.2,100,90,5.82,light rain
683,Barcelos,PT,41.54,-8.62,50.0,100,40,2.24,scattered clouds
684,Sao Joao Da Barra,BR,-21.64,-41.05,73.87,89,99,13.06,overcast clouds
685,Yaan,NG,7.38,8.57,81.07,50,46,6.38,scattered clouds
686,Saint-Georges,GD,12.06,-61.75,78.8,88,75,13.87,broken clouds
687,Sungaipenuh,ID,-2.08,101.38,63.82,94,94,1.34,light rain
688,Altayskoye,RU,51.95,85.33,11.39,91,0,1.5,clear sky
689,Nanakuli,US,21.39,-158.15,86.0,55,40,10.29,scattered clouds
690,Valleyview,CA,55.07,-117.29,28.4,74,10,5.82,clear sky
691,Ati,TD,13.22,18.34,75.42,18,0,13.73,clear sky
692,Itaituba,BR,-4.28,-55.98,80.6,88,40,5.82,light rain
693,Xining,CN,36.62,101.77,19.69,91,9,1.28,clear sky
